existing_shade,color_family,existing_attributes,desired_attributes,gap_type,gap_description,opportunity_shade
Shade 2 - Cherry Red (Ronaa.),Pink,Velvet Finish | Cool Undertone | Soft Intensity | Oil (49.9%) | L* (59.1),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 10.0%) | Wax (8.1%) | Target L* (36.5),Undertone Ashy & Finish Shift,Warna Cherry Red terlihat terlalu cool dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Olive.,OPP-SHD-001 (01.0 Cherry Red Rich - Lip Tint)
Shade 48 - Maple (Ronaa.),Pink,Glossy Finish | Olive Undertone | Medium Intensity | Oil (63.0%) | L* (73.1),Glasting Finish | Neutral Undertone | High Coverage (Pigment 14.0%) | Wax (7.2%) | Target L* (67.2),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-067 (04.5 Maple Satin - Glasting)
Shade 32 - Bare Nude (Ronaa.),Pink,Glossy Finish | Warm Undertone | Soft Intensity | Oil (56.3%) | L* (61.9),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 9.6%) | Wax (9.7%) | Target L* (84.7),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-068 (05.0 Bare Nude Satin - Lip Tint)
Shade 42 - Warm Honey (Barevis),Pink,Balm Finish | Cool Undertone | Medium Intensity | Oil (60.8%) | L* (55.9),Glossy Finish | Warm Undertone | High Coverage (Pigment 9.0%) | Wax (10.3%) | Target L* (56.3),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-069 (02.5 Warm Honey Satin - Glossy)
Shade 6 - Maple (Barevis),Pink,Glossy Finish | Warm Undertone | Deep Intensity | Oil (70.9%) | L* (60.5),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 13.5%) | Wax (11.4%) | Target L* (55.5),Pigmentation Gap,Pigmentasi 5.3% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-070 (04.5 Maple Plus - Lip Tint)
Shade 20 - Cappucino (Nuea),Plum,Glasting Finish | Cool Undertone | Soft Intensity | Oil (68.0%) | L* (69.6),Glossy Finish | Warm Undertone | High Coverage (Pigment 12.8%) | Wax (11.0%) | Target L* (63.7),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-071 (05.0 Cappucino Rich - Glossy)
Shade 2 - Dusty Rose (Ronaa.),Peach,Lip Tint Finish | Neutral Undertone | Soft Intensity | Oil (51.3%) | L* (51.9),Glasting Finish | Cool Undertone | High Coverage (Pigment 7.1%) | Wax (9.0%) | Target L* (63.3),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 51.9), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-072 (06.5 Dusty Rose Plus - Glasting)
Shade 14 - Chai (Barevis),Peach,Glossy Finish | Olive Undertone | Medium Intensity | Oil (50.5%) | L* (72.9),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 6.4%) | Wax (10.8%) | Target L* (42.8),Undertone Ashy & Finish Shift,Warna Chai terlihat terlalu olive dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Warm.,OPP-SHD-073 (01.0 Chai Velvet - Lip Tint)
Shade 32 - Dusty Rose (Nuea),Coral,Glossy Finish | Olive Undertone | Medium Intensity | Oil (52.5%) | L* (43.9),Balm Finish | Olive Undertone | High Coverage (Pigment 9.2%) | Wax (7.2%) | Target L* (68.4),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-074 (05.0 Dusty Rose Plus - Balm)
Shade 20 - Rosewood (Barevis),Red,Balm Finish | Cool Undertone | Medium Intensity | Oil (55.1%) | L* (55.1),Matte Finish | Olive Undertone | High Coverage (Pigment 12.7%) | Wax (9.5%) | Target L* (70.2),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-075 (03.0 Rosewood Plus - Matte)
Shade 28 - Caramel (Nuea),Nude,Glossy Finish | Warm Undertone | Medium Intensity | Oil (65.2%) | L* (54.6),Glasting Finish | Olive Undertone | High Coverage (Pigment 13.6%) | Wax (7.9%) | Target L* (83.3),Undertone Ashy & Finish Shift,Warna Caramel terlihat terlalu warm dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Olive.,OPP-SHD-076 (04.5 Caramel Velvet - Glasting)
Shade 7 - Mocca (Barevis),Coral,Glossy Finish | Olive Undertone | Deep Intensity | Oil (47.8%) | L* (47.8),Glossy Finish | Cool Undertone | High Coverage (Pigment 10.1%) | Wax (7.6%) | Target L* (60.5),Pigmentation Gap,Pigmentasi 6.5% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-077 (03.0 Mocca Velvet - Glossy)
Shade 16 - Berry (Ronaa.),Orange,Matte Finish | Neutral Undertone | Soft Intensity | Oil (51.1%) | L* (42.6),Matte Finish | Olive Undertone | High Coverage (Pigment 9.6%) | Wax (10.8%) | Target L* (72.7),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-078 (05.0 Berry Rich - Matte)
Shade 10 - Latte (Nuea),Berry,Glasting Finish | Olive Undertone | Medium Intensity | Oil (67.1%) | L* (52.3),Matte Finish | Neutral Undertone | High Coverage (Pigment 12.7%) | Wax (7.3%) | Target L* (57.6),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-079 (01.0 Latte Plus - Matte)
Shade 33 - Chai (Ronaa.),Plum,Glossy Finish | Warm Undertone | Medium Intensity | Oil (76.8%) | L* (61.2),Lip Tint Finish | Cool Undertone | High Coverage (Pigment 12.7%) | Wax (11.1%) | Target L* (57.5),Undertone Ashy & Finish Shift,Warna Chai terlihat terlalu warm dan berkesan ashy saat diaplikasikan pada konsumen ber-undertone Cool.,OPP-SHD-080 (06.5 Chai Plus - Lip Tint)
Shade 3 - Mocca (Ronaa.),Orange,Lip Tint Finish | Olive Undertone | Medium Intensity | Oil (63.3%) | L* (72.1),Glossy Finish | Olive Undertone | High Coverage (Pigment 11.0%) | Wax (7.3%) | Target L* (68.9),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-081 (03.0 Mocca Plus - Glossy)
Shade 36 - Soft Mauve (Nuea),Pink,Glossy Finish | Neutral Undertone | Medium Intensity | Oil (70.3%) | L* (70.6),Velvet Finish | Warm Undertone | High Coverage (Pigment 8.5%) | Wax (11.6%) | Target L* (68.2),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-082 (06.5 Soft Mauve Satin - Velvet)
Shade 46 - Maple (Barevis),Plum,Velvet Finish | Olive Undertone | Deep Intensity | Oil (72.7%) | L* (69.0),Balm Finish | Warm Undertone | High Coverage (Pigment 8.5%) | Wax (7.1%) | Target L* (60.4),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-083 (02.5 Maple Velvet - Balm)
Shade 15 - Red (Nuea),Red,Matte Finish | Warm Undertone | Medium Intensity | Oil (74.6%) | L* (69.2),Lip Tint Finish | Warm Undertone | High Coverage (Pigment 10.8%) | Wax (10.1%) | Target L* (78.8),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-084 (02.5 Red Intense - Lip Tint)
Shade 11 - Cherry Red (Barevis),Plum,Glossy Finish | Warm Undertone | Medium Intensity | Oil (57.8%) | L* (61.4),Glossy Finish | Olive Undertone | High Coverage (Pigment 12.5%) | Wax (8.5%) | Target L* (61.7),Finish & Longevity Preference,Tekstur glossy mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi glossy yang lebih awet.,OPP-SHD-085 (04.5 Cherry Red Intense - Glossy)
Shade 29 - Latte (Nuea),Plum,Balm Finish | Neutral Undertone | Medium Intensity | Oil (62.6%) | L* (47.0),Satin Finish | Cool Undertone | High Coverage (Pigment 9.0%) | Wax (9.4%) | Target L* (37.6),Formula Texture & Moisture Gap,Formula terasa terlalu kering dan memperjelas tekstur garis bibir karena kadar wax/mattifier tinggi.,OPP-SHD-086 (01.0 Latte Rich - Satin)
Shade 6 - Cinnamon (Barevis),Brown,Matte Finish | Neutral Undertone | Medium Intensity | Oil (76.7%) | L* (73.1),Velvet Finish | Olive Undertone | High Coverage (Pigment 9.2%) | Wax (9.1%) | Target L* (81.5),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-087 (03.0 Cinnamon Intense - Velvet)
Shade 24 - Mocca (Nuea),Pink,Glasting Finish | Neutral Undertone | Soft Intensity | Oil (74.4%) | L* (44.8),Glossy Finish | Olive Undertone | High Coverage (Pigment 10.9%) | Wax (9.3%) | Target L* (72.9),Skin Tone Inclusion,"Opsi warna terlalu terang (L* 44.8), dibutuhkan opsi shade yang lebih ramah untuk kulit medium-deep.",OPP-SHD-088 (01.0 Mocca Plus - Glossy)
Shade 10 - Brick Red (Nuea),Red,Lip Tint Finish | Olive Undertone | Soft Intensity | Oil (72.2%) | L* (48.3),Balm Finish | Olive Undertone | High Coverage (Pigment 10.8%) | Wax (11.5%) | Target L* (40.5),Pigmentation Gap,Pigmentasi 2.7% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-089 (01.0 Brick Red Rich - Balm)
Shade 46 - Red (Ronaa.),Red,Velvet Finish | Olive Undertone | Soft Intensity | Oil (66.5%) | L* (63.3),Glasting Finish | Neutral Undertone | High Coverage (Pigment 12.3%) | Wax (9.7%) | Target L* (82.7),Pigmentation Gap,Pigmentasi 4.5% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-090 (05.0 Red Rich - Glasting)
Shade 31 - Peach (Barevis),Coral,Lip Tint Finish | Olive Undertone | Medium Intensity | Oil (53.9%) | L* (52.1),Balm Finish | Warm Undertone | High Coverage (Pigment 6.4%) | Wax (8.7%) | Target L* (71.8),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-091 (05.0 Peach Velvet - Balm)
Shade 50 - Soft Mauve (Ronaa.),Orange,Glossy Finish | Olive Undertone | Deep Intensity | Oil (51.4%) | L* (73.0),Glasting Finish | Neutral Undertone | High Coverage (Pigment 6.3%) | Wax (8.0%) | Target L* (37.2),Finish & Longevity Preference,Tekstur glossy mudah luntur saat digunakan makan/minum; konsumen menginginkan opsi glasting yang lebih awet.,OPP-SHD-092 (03.0 Soft Mauve Rich - Glasting)
Shade 31 - Chestnut (Nuea),Peach,Glasting Finish | Cool Undertone | Medium Intensity | Oil (57.5%) | L* (51.6),Matte Finish | Neutral Undertone | High Coverage (Pigment 13.2%) | Wax (10.7%) | Target L* (79.5),Undertone & Brightness Precision,Oksidasi menyebabkan warna bergeser menjadi lebih gelap/kuning setelah beberapa jam pemakaian.,OPP-SHD-093 (04.5 Chestnut Velvet - Matte)
Shade 45 - Light Pink (Barevis),Mauve,Velvet Finish | Neutral Undertone | Soft Intensity | Oil (70.4%) | L* (68.8),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 8.4%) | Wax (8.6%) | Target L* (40.1),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-094 (04.5 Light Pink Rich - Lip Tint)
Shade 11 - Bare Nude (Ronaa.),Coral,Glossy Finish | Neutral Undertone | Medium Intensity | Oil (46.5%) | L* (74.9),Velvet Finish | Warm Undertone | High Coverage (Pigment 10.1%) | Wax (9.0%) | Target L* (68.6),Pigmentation Gap,Pigmentasi 4.1% kurang pekat untuk menutup garis bibir gelap / hiperpigmentasi.,OPP-SHD-095 (06.5 Bare Nude Intense - Velvet)
Shade 39 - Soft Mauve (Barevis),Orange,Balm Finish | Olive Undertone | Soft Intensity | Oil (49.4%) | L* (52.7),Satin Finish | Warm Undertone | High Coverage (Pigment 9.0%) | Wax (9.2%) | Target L* (42.7),Shade Extension for Deep Warm Skin,Kurangnya pilihan shade warm dengan saturasi warna kaya untuk pemilik kulit sawo matang.,OPP-SHD-096 (04.5 Soft Mauve Plus - Satin)
Shade 34 - Cappucino (Ronaa.),Orange,Glossy Finish | Neutral Undertone | Deep Intensity | Oil (54.8%) | L* (46.5),Lip Tint Finish | Olive Undertone | High Coverage (Pigment 11.6%) | Wax (10.9%) | Target L* (40.9),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-097 (02.5 Cappucino Rich - Lip Tint)
Shade 13 - Berry (Nuea),Mauve,Matte Finish | Warm Undertone | Medium Intensity | Oil (51.0%) | L* (68.4),Matte Finish | Neutral Undertone | High Coverage (Pigment 8.3%) | Wax (9.7%) | Target L* (70.5),Shade Depth Mismatch,Tingkat kegelapan shade belum presisi; warna terlihat terlalu mengambang pada konsumen target.,OPP-SHD-098 (03.0 Berry Intense - Matte)
Shade 24 - Plum Kiss (Ronaa.),Orange,Matte Finish | Warm Undertone | Soft Intensity | Oil (72.7%) | L* (52.6),Lip Tint Finish | Neutral Undertone | High Coverage (Pigment 10.9%) | Wax (9.8%) | Target L* (75.2),Coverage & Texture Balance,"Formula terasa berat di bibir, dibutuhkan penyesuaian rasio wax dan emollient oil agar lebih ringan.",OPP-SHD-099 (01.0 Plum Kiss Plus - Lip Tint)
Shade 46 - Cherry Red (Nuea),Coral,Glossy Finish | Olive Undertone | Medium Intensity | Oil (73.8%) | L* (62.5),Satin Finish | Olive Undertone | High Coverage (Pigment 12.2%) | Wax (11.4%) | Target L* (52.2),Lip Color Correction Need,Konsumen butuh shade netral pemoreksi (corrector/primer) sebelum menggunakan warna nude utama.,OPP-SHD-100 (06.5 Cherry Red Rich - Satin)
