feedback_id,user_id,shade_id,Brand,name,Undertone,Skintone,appealing,color,texture,finish,overall_rating,what_would_you_change
F257,U007,026,Ronaa.,Plum,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F258,U008,026,Ronaa.,Plum,Cool,Medium,Not sure,Too pale,Too thick,Just right,3,Color
F259,U009,026,Ronaa.,Plum,Olive,Medium,Love it,Just right,Comfortable,Too matte,4,Finish
F260,U010,026,Ronaa.,Plum,Neutral,Light,Like it,Too dark,Too dry,Too matte,3,"Texture, Finish"
F261,U001,027,Barevis,Roast Pink,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F262,U002,027,Barevis,Roast Pink,Warm,Light,Like it,Too dark,Comfortable,Too matte,4,"Color, Finish"
F263,U003,027,Barevis,Roast Pink,Neutral,Medium,Not sure,Just right,Too thick,Just right,3,Texture
F264,U004,027,Barevis,Roast Pink,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F265,U005,027,Barevis,Roast Pink,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F266,U006,027,Barevis,Roast Pink,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F267,U007,027,Barevis,Roast Pink,Neutral,Deep,Not sure,Too dark,Too thick,Just right,3,"Color, Texture"
F268,U008,027,Barevis,Roast Pink,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F269,U009,027,Barevis,Roast Pink,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F270,U010,027,Barevis,Roast Pink,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F271,U001,028,Barevis,Milk Tea,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F272,U002,028,Barevis,Milk Tea,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F273,U003,028,Barevis,Milk Tea,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F274,U004,028,Barevis,Milk Tea,Warm,Medium,Not for me,Too dark,Too sticky,Too glossy,2,"Color, Texture, Finish"
F275,U005,028,Barevis,Milk Tea,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F276,U006,028,Barevis,Milk Tea,Warm,Medium,Not sure,Just right,Comfortable,Too glossy,5,Finish
F277,U007,028,Barevis,Milk Tea,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F278,U008,028,Barevis,Milk Tea,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F279,U009,028,Barevis,Milk Tea,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F280,U010,028,Barevis,Milk Tea,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F281,U001,029,Nuea,Ruby Red,Olive,Light,Love it,Too dark,Comfortable,Just right,3,Color
F282,U002,029,Nuea,Ruby Red,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F283,U003,029,Nuea,Ruby Red,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F284,U004,029,Nuea,Ruby Red,Warm,Medium,Not for me,Too pale,Too sticky,Too glossy,2,"Color, Texture, Finish"
F285,U005,029,Nuea,Ruby Red,Cool,Light,Not sure,Just right,Comfortable,Just right,4,
F286,U006,029,Nuea,Ruby Red,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F287,U007,029,Nuea,Ruby Red,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F288,U008,029,Nuea,Ruby Red,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F289,U009,029,Nuea,Ruby Red,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F290,U010,029,Nuea,Ruby Red,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
F291,U001,030,Nuea,Orange Blaze,Olive,Light,Love it,Just right,Comfortable,Just right,5,
F292,U002,030,Nuea,Orange Blaze,Warm,Light,Like it,Too dark,Comfortable,Too glossy,4,"Color, Finish"
F293,U003,030,Nuea,Orange Blaze,Neutral,Medium,Not sure,Just right,Too dry,Just right,3,Texture
F294,U004,030,Nuea,Orange Blaze,Warm,Medium,Not sure,Too pale,Too sticky,Too matte,2,"Color, Texture, Finish"
F295,U005,030,Nuea,Orange Blaze,Cool,Light,Like it,Just right,Comfortable,Just right,4,
F296,U006,030,Nuea,Orange Blaze,Warm,Medium,Love it,Just right,Comfortable,Too glossy,5,Finish
F297,U007,030,Nuea,Orange Blaze,Neutral,Deep,Like it,Too dark,Too thick,Just right,3,"Color, Texture"
F298,U008,030,Nuea,Orange Blaze,Cool,Medium,Not sure,Too pale,Comfortable,Just right,3,Color
F299,U009,030,Nuea,Orange Blaze,Olive,Medium,Love it,Just right,Comfortable,Just right,5,
F300,U010,030,Nuea,Orange Blaze,Neutral,Light,Like it,Just right,Too dry,Too matte,4,"Texture, Finish"
